"","Means_dim2_birth","Means_dim2_death","sd_dim2_birth","sd_dim2_death"
"1702",2.21336094822202,2.23166796990803,0.0981807866181235,0.104899853463286
"1703",1.62842106819153,1.63673758506775,0,0
"1704",0.987422619067447,0.999800276588386,0.238762262957806,0.235182591070129
"1705",1.60535626113415,1.62492263317108,0.0792789054990529,0.0825675274635666
"1706",0.743956144154072,0.749260418862104,0.268988172450162,0.271192022040332
"1707",1.157044001988,1.17603308813913,0.173055106431189,0.17693489437418
"1708",0.555007849240078,0.563154008872104,0.080169730220641,0.0792245404634876
"1709",0.15234266135555,0.155730415135622,0.147218687775926,0.146514290483536
"1710",0.667570447059054,0.671059298672174,0.267471419927073,0.266976716291472
"1711",1.32434368869405,1.35034831070606,0.159419409041262,0.164023040227853
"1712",0.407039976044863,0.412005637999342,0.0774251187626127,0.0776303772840946
"1713",1.03366144790369,1.04774352908134,0.215780572180426,0.218402053574325
"1714",1.2558596944809,1.27241523504257,0.298604992787955,0.295851438259732
"1715",0.804468478132414,0.81791832703072,0.151801584587281,0.150065917140676
"1716",0.357489460571246,0.366612496023828,0.0901924971623675,0.0848157039687486
"1717",1.50185391035947,1.51329308206385,0.236785205572195,0.243976693164234
"1718",0.991605238481001,0.998643186959353,0.126596795004079,0.12984239392035
"1719",0.46299600486572,0.467596698265809,0.083457615180486,0.0821281128775908
"1720",0.758238395409925,0.765434585511684,0.0418907469365784,0.0424284272271609
"1721",1.75242689408754,1.7591561831926,0.048089853318988,0.0486708090272787
"1722",1.53631597683753,1.54636612056214,0.117494420023037,0.120093964329546
"1723",0.412339814472944,0.418391010258347,0.105755203381648,0.106618536926707
"1724",1.73874005545741,1.74413147698278,0.0194786261539041,0.0189628033426024
"1725",0.868099553244455,0.877346558230264,0.0260739578868614,0.0352186354675556
"1726",0.680193628004084,0.692847684415847,0.0708391475330349,0.0717379101047458
"1727",1.24486876858605,1.25610896834621,0.174900086777359,0.179562136759035
"1728",1.680778465271,1.69873920917511,0.0910755930061751,0.0930230737659588
"1729",0.687846782803536,0.697304579615593,0.143706702590002,0.144058044931415
"1730",1.439011658941,1.46945686851229,0.13767209142753,0.154546305285722
"1731",0.774880281190553,0.783858821722879,0.254224422413788,0.253049359326214
"1732",2.17525575711177,2.18575520698841,0.477453876581356,0.479865021764087
"1733",0.256079718470573,0.263008415699005,0.000755128780339653,0.00595237203728626
"1734",0.831808076517002,0.83881214462422,0.189383862844104,0.191307911794428
"1735",1.58706631014744,1.61777520924807,0.124127376169684,0.108217974833146
"1736",1.14269007921219,1.15816356277466,0.255449365942445,0.261948187036181
"1737",1.57931024687631,1.59028303623199,0.0555201000479357,0.0644802474680743
"1738",1.16433919878567,1.17701977140763,0.392072150889078,0.390536634866711
"1739",1.33469834646513,1.34987703381583,0.331523668187876,0.329919437308128
"1740",1.81547419999235,1.83254574063004,0.325567853570201,0.32636024955303
"1741",1.49725225949899,1.51411910393299,0.0701797218976483,0.0678296014450606
"1742",0.950656036535899,0.965683256134842,0.221295437443419,0.222661027410494
"1743",1.5150202458555,1.52494785460559,0.351716192268682,0.35296476790344
"1744",1.1907224203601,1.20201546194577,0.12279824141034,0.125875251923436
"1745",0.606546274211147,0.613312154713244,0.26021920810667,0.260476635243436
"1746",2.00416972865797,2.02792498673478,0.278843296033378,0.290888796748197
"1747",0.664206231182272,0.674570589241656,0.0686442073372988,0.0653319438783734
"1748",1.880618427739,1.90142105203686,0.554028466819305,0.553413384523135
"1749",1.40973229408264,1.43057386159897,0.132322402204207,0.144314818202487
"1750",1.17231430829718,1.19446147261904,0.0573527819739472,0.0508948911990751
"1751",1.38830471038818,1.39139640331268,0,0
"1752",2.27294164311652,2.29468455735375,0.292728003489659,0.294072579111647
"1753",1.24875378608704,1.25281357765198,0.00440752814814376,0.0074674623768762
"1754",1.98267384624296,2.00590869599535,0.392961047768606,0.396013447289825
"1755",1.47871569130156,1.49491940935453,0.392752050397699,0.398641425859453
"1756",2.14554021613938,2.15366535953113,1.46513198916993,1.46471430053455
"1757",0.69348166802445,0.710931185934995,0.0878006361610937,0.0848715168561113
"1758",1.50052392482758,1.51114968820052,0.0767884766030007,0.088310815008146
"1759",1.04673082298703,1.06764680809445,0.157703986938131,0.168932498327755
"1760",1.1654698454908,1.18078920458044,0.197574147923613,0.201658650832028
"1761",1.52821391186816,1.53895833898098,0.184204805313473,0.183356052330636
"1762",1.59965324788899,1.62542298784504,0.350784129973393,0.347817446251841
"1763",0.869754399244602,0.875701581056301,0.0323383897926933,0.031851026277476
"1764",2.03500780085443,2.06400815198119,0.527085166896266,0.541254995484936
"1765",0.852424541657621,0.859218275005167,0.0162591983531779,0.016169182503893
"1766",0.887352652847767,0.897437985986471,0.252979130500909,0.258177893099731
"1767",1.74587292682948,1.76376266491237,0.302563134349337,0.309176487502133
"1768",0.936660725445974,0.94895704303469,0.196623979700705,0.198701689525837
"1769",1.00281291226951,1.0118325820991,0.115232993392364,0.113361251367296
"1770",0.389158939383924,0.396402857638895,0.136616700220831,0.139890792360258
"1771",0.925333391170244,0.933504793826524,0.083663119575864,0.086168002109637
"1772",1.94044732010883,1.97312719407289,0.306828943863573,0.31378498932965
"1773",1.78737880001549,1.80600020164201,0.182473179469404,0.180912226031219
"1774",1.12801384925842,1.18645477294922,0.022663540556066,0.10454222315818
"1775",1.33959360917409,1.3443337281545,0.00322118653604651,0.000411838754951274
"1776",0.63433070623942,0.641429449710469,0.115548861337208,0.116370256257835
"1777",0.71743891954422,0.728614790439606,0.069472649888073,0.0749569624362731
"1778",0.653459957168426,0.661364721663204,0.210166150247541,0.212809636610201
"1779",2.13392999539009,2.15769682939236,0.105591707820834,0.104867844512976
"1780",1.78318178653717,1.80614119454434,0.0702032635468078,0.0938589067368214
"1781",0.974286852539449,0.987861640211465,0.0996834086098239,0.100874963319431
"1782",0.432690776601622,0.447527525545676,0.0461861594302802,0.0506709087468484
"1783",2.33636946678162,2.35887894630432,0.070058823802314,0.0634246595613324
"1784",1.02683682513959,1.04341390774106,0.0786919309263201,0.0840216143611404
"1785",0.613912818431854,0.624532913267613,0.171865365663829,0.180647373011869
"1786",0.930756539106369,0.933708862179802,0.319070978590104,0.319389272791793
"1787",1.30448936013614,1.30973448122249,0.46477315773099,0.463818776746986
"1788",1.91452222665151,1.93007066779666,0.123129964487433,0.127471620402998
