,Birth,Death,Dimension
618,1.1255193948745728,1.176164150238037,1
619,1.123882532119751,1.333242654800415,1
620,1.1227631568908691,1.2140835523605347,1
621,1.1182584762573242,1.128058910369873,1
622,1.1139717102050781,1.1867262125015259,1
623,1.1121824979782104,1.2314369678497314,1
624,1.1065188646316528,1.229313611984253,1
625,1.1011748313903809,1.107093095779419,1
626,1.1003004312515259,1.4090042114257812,1
627,1.0914719104766846,1.2866981029510498,1
628,1.0903362035751343,1.7561509609222412,1
629,1.0891308784484863,1.170344352722168,1
630,1.0866503715515137,1.138724684715271,1
631,1.0817203521728516,1.0846326351165771,1
632,1.0754482746124268,1.0907258987426758,1
633,1.0703825950622559,1.233502745628357,1
634,1.034441351890564,1.1330485343933105,1
635,1.0308079719543457,1.3186393976211548,1
636,1.0279183387756348,1.1059890985488892,1
637,1.0061655044555664,1.0084642171859741,1
638,1.0012192726135254,1.2181403636932373,1
639,1.0009595155715942,1.1076627969741821,1
640,1.0000674724578857,1.0104068517684937,1
641,0.9993802905082703,1.0062798261642456,1
642,0.9989639520645142,1.0066970586776733,1
643,0.9980721473693848,1.0071003437042236,1
644,0.9902383685112,1.0120790004730225,1
645,0.9901979565620422,1.014253854751587,1
646,0.9894827008247375,1.008939504623413,1
647,0.9880212545394897,1.2356791496276855,1
648,0.9858189225196838,1.1786924600601196,1
649,0.9850949048995972,1.0184001922607422,1
650,0.9818635582923889,1.0620428323745728,1
651,0.9795488715171814,1.1772489547729492,1
652,0.9787154793739319,1.015371322631836,1
653,0.9753707051277161,0.992929995059967,1
654,0.9658540487289429,1.0008516311645508,1
655,0.9599995017051697,1.09398353099823,1
656,0.946738064289093,0.965948224067688,1
657,0.9411147832870483,1.039682149887085,1
658,0.9397196173667908,1.0200053453445435,1
659,0.9377766251564026,1.0435487031936646,1
660,0.9355810880661011,1.0220611095428467,1
661,0.9327598810195923,1.0446046590805054,1
662,0.9288105368614197,0.9919002056121826,1
663,0.9234181046485901,1.0955322980880737,1
664,0.9214358329772949,1.0389471054077148,1
665,0.9208875894546509,1.0331461429595947,1
666,0.9194281101226807,0.9905907511711121,1
667,0.9180468320846558,1.040279746055603,1
668,0.9173243641853333,1.0051203966140747,1
669,0.9162232279777527,0.9965690970420837,1
670,0.9108787178993225,0.9382238388061523,1
671,0.9029878377914429,0.9746553301811218,1
672,0.9018653035163879,0.9728689789772034,1
673,0.9017255902290344,1.046364665031433,1
674,0.8746702075004578,0.9650766849517822,1
675,0.8715348243713379,1.0263396501541138,1
676,0.8544208407402039,0.9506760835647583,1
677,0.8452644348144531,0.9760296940803528,1
678,0.834866464138031,0.9114493727684021,1
679,0.8348466753959656,1.0105152130126953,1
680,0.834463894367218,0.9128789901733398,1
681,0.834322452545166,0.934158980846405,1
682,0.8342535495758057,0.9201238751411438,1
683,0.8334872722625732,0.9179542660713196,1
684,0.8328151106834412,0.9217705726623535,1
685,0.8323178291320801,0.9255949258804321,1
686,0.8323178291320801,0.9465590119361877,1
687,0.832231342792511,0.9610900282859802,1
688,0.831437885761261,0.9648906588554382,1
689,0.8154244422912598,0.8260787129402161,1
690,0.8084905743598938,0.8304360508918762,1
691,0.8062654733657837,0.9934716820716858,1
692,0.45380282402038574,1.2274138927459717,1
693,0.4197963774204254,0.4211626648902893,1
694,1.8307323455810547,1.8752140998840332,2
695,1.7906239032745361,1.8104521036148071,2
696,1.7680853605270386,1.7846969366073608,2
697,1.763140320777893,1.806321620941162,2
698,1.7614721059799194,1.8046420812606812,2
699,1.7614721059799194,1.772642970085144,2
700,1.7319368124008179,1.7331812381744385,2
701,1.5955625772476196,1.6026278734207153,2
702,1.5737051963806152,1.6079834699630737,2
703,1.5545352697372437,1.5612215995788574,2
704,1.5445853471755981,1.5752543210983276,2
705,1.5319738388061523,1.5605287551879883,2
706,1.5248311758041382,1.534537434577942,2
707,1.5115607976913452,1.5118707418441772,2
708,1.4635401964187622,1.468949317932129,2
709,1.4042898416519165,1.4578075408935547,2
710,1.391196608543396,1.3939106464385986,2
711,1.3837076425552368,1.386730670928955,2
712,1.3662240505218506,1.3688130378723145,2
713,1.3654552698135376,1.3712531328201294,2
714,1.3649919033050537,1.3772578239440918,2
715,1.3648329973220825,1.3669513463974,2
716,1.3647907972335815,1.3702598810195923,2
717,1.3643587827682495,1.3720258474349976,2
718,1.3630099296569824,1.3712531328201294,2
