","skew_life_dim0","skew_life_dim1","skew_life_dim2"
"1",0.266818532101553,1.67055579787935,1.73393247709534
"2",0.590419048790265,1.6354604962935,1.09916022950571
"3",1.36874893701088,1.80684505748478,1.93582511081126
"4",0.475043598403973,1.51056153397921,0.42675741389918
"5",0.332477772467776,1.15564753693156,1.30473080929945
"6",0.138382402306614,0.817256683548727,0.889229174947857
"7",1.25400805828268,3.75404295165484,0.550501419410329
"8",1.03688839581096,1.27541126958674,1.41049325943332
"9",0.0874039719212678,1.71675467817639,1.68772305173969
"10",-0.885630715472003,1.78075795635568,1.46918785639998
"11",-0.304426365358011,1.43154571477096,1.73696447903973
"12",1.08186317157772,2.46590335956295,-0.498254171711413
"13",1.77111506167685,1.27954833172009,0.691406256742907
"14",-0.0200426280129869,1.21463589044122,2.05774227562876
"15",0.637536677018688,2.51655450004606,2.80603574990672
"16",1.28881522186174,1.55103397542087,3.34403560505401
"17",-0.0807457112244676,1.44495723499968,2.0808668598653
"18",0.700554269851785,1.30426553747332,0.581120205617202
"19",1.73250561680461,0.834500170515011,0.749673300563733
"20",0.19340038062853,0.717662073534582,2.19777138129471
"21",2.55766269123819,1.72849599341389,0.804674156421905
"22",2.11963407760811,5.23992203167796,0.995209432320908
"23",0.495797362885304,1.73156113340088,1.77574458479757
"24",-0.453736832875382,3.03117214604649,2.04440338258841
"25",-0.712100791849057,1.87517988505752,1.90125739366909
"26",0.626737855429262,1.80633993718833,1.15010483331828
"27",-0.0695605117308316,1.99348275734327,1.33661567281535
"28",-0.456244946035545,1.39945934256049,1.03909520750329
"29",0.486077609903195,2.86041656552328,0.505492715402291
"30",-0.275665109852622,7.60822842675585,1.63803790074964
"31",0.229430353308557,1.96309765414549,2.38420788877383
"32",-0.8975435808073,4.68985536060907,0.282359221255381
"33",0.527528633638262,1.33495461566467,1.66796400839903
"34",1.21327750223097,10.5095547428247,1.08178014329255
"35",-0.199652803245836,0.961141535494915,1.44207229770645
"36",2.15616060535821,3.09266177944017,2.51512521346113
"37",2.70791165086125,0.909353405896393,1.53335676065291
"38",0.998097054405731,1.50313933555712,0.712181653763407
"39",-1.55893032674673,4.21522177207056,1.83001568537307
"40",0.905515313472936,2.19786669156694,1.41556077109359
"41",0.180250854789868,6.27319436578395,2.59815428142054
"42",0.618768690781878,1.14682807170112,4.03680666311292
"43",0.789754687164455,1.64778580885085,1.72594265926856
"44",0.725674860698223,-0.351691334826867,0.920455126666475
"45",-1.44928265758733,0.885312869329219,1.79900539481037
"46",0.723604422939609,1.80973320864457,0.925123424276355
"47",1.53313153212607,2.13844626422866,0.9913822593197
"48",-0.429541021291919,1.67279370565617,1.09159125397398
"49",-0.123952771192201,1.47553683546698,1.30069552790807
"50",0.569680141523571,3.84564967068914,1.87172878015323
"51",0.276585769203118,1.92698848204436,1.38071542589969
"52",0.678171147150057,0.371820024108859,1.40604738048805
"53",-0.621817732624358,1.0024686331816,2.35741197013499
"54",1.27522883413706,8.69692916619141,1.715920352738
"55",1.74007287524798,8.36371703535373,1.75174627458851
"56",0.887194519405775,7.71730068339988,2.6446469702975
"57",0.332842401721106,10.9101900275216,1.08584778116799
"58",2.28411039985509,2.03808979650293,2.17897357594216
"59",0.96700878732894,1.32080638303191,0.643968688259888
"60",0.449596750111652,0.932521640841824,2.01684827224821
"61",2.37575437759172,1.62587403804839,-0.096525542720422
"62",0.16629525502787,3.44268562070712,0.446796200375798
"63",-0.117240390462951,1.16125962563718,2.07372742712372
"64",0.515009144970473,0.795774330315777,1.34820489549386
"65",1.40943677875521,2.7642362199823,1.10896323635612
"66",0.848968829552594,2.07592687927234,1.22213334937617
"67",-0.0936163603203344,1.16828412323021,1.80897748519893
"68",0.603337731863942,0.737228823441326,2.03619302100252
"69",1.15886957310554,3.81600523225674,1.20054796994063
"70",0.619193022779067,1.70671594096516,0
"71",1.23876329495467,1.72177080591733,1.07402861628806
"72",0.402779992713448,4.39105257707041,1.62939506236353
"73",1.82822772472509,3.4021426545317,1.78707440174147
"74",0.170378083798741,2.85682090645781,0.763869642277681
"75",0.425277911392571,0.882085386857349,1.83704694774808
"76",0.405324109747347,0.928489140448128,1.80928181895083
"77",0.614978780930325,3.38428466709561,1.5317232545049
"78",0.518666446921607,1.28872901532379,0.737486498792093
"79",0.0572572728285816,1.54768484536998,1.10665510454631
"80",1.3519949115186,2.27992919384179,1.36923222116111
"81",-0.58103930251194,2.01135889685285,1.19213195122051
"82",0.363349002673122,1.17753492253686,2.8532886309796
"83",-0.0940850532728611,2.40970133844967,0.464421617821377
"84",0.0516886137824046,1.79303205222974,1.14073369473976
"85",2.49771928433294,8.24332217061662,1.30267527754455
"86",1.23313907335596,2.30219978129891,1.29240423936638
"87",0.672150195880885,1.86145558172905,0.836896950569921
"88",0.490167839512785,0.587221049728703,1.49761430731845
"89",1.97963341768695,5.28773182581543,0.906090894998251
"90",0.264313365772169,1.04384064000025,1.98053148855063
"91",0.539520590979819,1.22453006125377,0.124001584191309
"92",0.409585830145028,0.556904318720464,1.66347083011185
"93",0.628214948872008,6.5164007795772,1.22924355479881
