,Lifetime_dim0,Lifetime_dim1,Lifetime_dim2
1,348.785261,26.23838693,1.318431675
2,359.358907,17.3968029,1.606158733
3,257.1965964,19.28826484,2.403087199
4,187.2397155,15.01195352,0.825511873
5,179.1444961,5.421801046,0.243533894
6,267.7230937,14.0523545,3.215620935
7,342.1940783,37.37943117,1.935979843
8,148.592585,3.564322785,0.059248209
9,548.9920051,36.87453431,2.733613491
10,523.135195,25.5278641,2.718809009
11,150.2998291,9.130698979,0.235948533
12,312.2696929,11.51686898,0.053533733
13,197.6275636,5.069591224,0.016518906
14,569.1207757,46.05818516,1.871017694
15,197.8765059,4.051096722,0.119879901
16,549.685875,36.93175626,3.273279667
17,394.2737432,40.13862425,4.298008978
18,759.8196116,38.5964452,1.162771583
19,505.0091356,43.72297674,1.524297476
20,457.0801732,47.4053942,3.181071043
21,415.9486317,16.79845122,0.801558733
22,350.0691171,25.85408166,3.389806211
23,430.0901285,34.17641044,3.401816845
24,240.0098663,9.828997567,1.019793391
25,728.0769745,42.1985876,2.12539041
26,326.5307225,7.911426008,0.510406494
27,507.219815,80.71876162,5.107188106
28,618.2569125,42.97931498,1.768429935
29,480.2494149,30.66963959,2.582965314
30,215.3330352,17.88000305,1.506644994
31,1305.115708,49.28806239,1.86810565
32,405.3570078,35.70737836,2.495239347
33,430.9755167,28.08497654,0.508979678
34,226.9071409,20.54889679,2.751580864
35,801.8916132,57.53850049,8.901498854
36,344.1658333,27.74130222,0.194791794
37,327.2369855,43.04884487,4.979247928
38,336.5762277,9.256680101,0.26881811
39,297.2029451,17.64716303,0.427731335
40,268.9488956,8.061402828,0.613554299
41,356.2026094,29.9087477,3.804677129
42,974.8020086,55.0226953,8.468169689
43,972.827599,41.74035943,2.786752224
44,349.5143556,42.94989017,3.944967031
45,265.0511401,10.64456463,0.650693715
46,306.286775,14.24088883,1.082924664
47,474.8479342,27.53646505,2.750813484
48,298.5826265,23.34310728,2.05905962
49,1028.618425,59.86525452,2.915749907
50,195.7155867,12.10681568,0.462397784
51,648.795922,35.34454328,2.888070107
52,239.4683097,14.34885354,0.656661302
53,517.8750927,21.59599322,4.513268828
54,536.89039,42.1933865,0.538441658
55,316.4904339,32.3636753,2.54730916
56,292.2424957,14.42501807,3.148917735
57,433.9919887,28.09641844,1.13913244
58,547.5162337,24.62814197,0.711043358
59,202.3358823,10.1205458,0.509224474
60,346.7413588,29.20828328,1.242102265
61,254.472603,19.37003459,0.475839049
62,738.7126334,69.5294221,9.672161341
63,356.3722258,24.89420959,0.486756593
64,568.5435673,11.51880246,3.12013936
65,326.8044132,16.80345951,1.424703658
66,160.27883,3.913163915,0.31525299
67,318.6377191,13.47451121,0.522771001
68,333.8982678,10.49855503,0.039128661
69,384.8119386,27.77813429,2.359352231
70,279.713423,19.28573421,0.834904909
71,528.5807058,34.34496135,3.150480092
72,176.9399125,5.857799605,0.506543905
73,229.2730248,16.64746778,0.664962918
74,203.6365761,8.079715401,0.735726178
75,217.7360443,3.453168571,0.019992307
76,352.5187579,51.10803369,4.49022007
77,196.9796274,11.28621499,0.409369797
78,250.5747975,14.77084705,0.873305261
79,358.3139989,7.810998648,0.085914135
80,426.0412657,17.70462926,1.201714873
81,506.6063697,18.88389422,0.974322677
82,426.0493186,37.40527892,3.377442122
83,231.7173565,9.03231658,0.090972543
84,430.7762348,20.89160436,1.939635754
85,180.3125344,5.068884864,0.130138427
86,784.8234797,42.14181954,7.777114391
87,595.6057434,14.19022551,0.853284895
88,324.140624,19.42107284,1.694114804
89,217.3944206,20.51841065,2.895687252
90,646.0980403,46.30148673,1.491298914
91,326.7139041,13.68008199,1.085939944
92,250.1775488,17.6966251,1.512558967
93,539.2784601,42.3516711,2.481629133
94,224.3733088,5.240341499,0.213339344
95,388.8429503,37.29162288,1.57837826
96,448.3614206,22.88148057,1.636185884
97,232.6213396,18.0740535,1.392064989
98,426.1629365,30.61602652,1.095292747
99,635.5726489,44.96241224,2.932503462
100,296.5428236,13.98492634,0.455703378
101,590.5964501,43.86084884,0.968834996
102,440.0202979,31.37922373,4.220373452
103,268.6715925,15.88531134,0.808627486
104,291.1865687,8.282270014,0.310548782
105,284.6664716,11.93844099,1.065897554
106,551.6861781,28.38308418,3.760882139
107,239.0509948,2.331579596,0.192604184
108,344.3809085,35.47736678,5.421916604
109,334.0640873,13.91821879,3.107525349
110,485.9123529,30.04884452,1.52311635
111,274.8426313,23.29553321,0.745101213
112,164.9022954,6.751644745,0.054503754
113,383.2853996,18.62286502,1.347139597
114,818.6865642,29.83506018,1.741513431
115,221.6878517,18.38233352,0.246524513
116,313.675685,7.611972779,0.051027685
117,279.2209532,9.754864395,1.164121985
118,417.1820734,40.21943417,2.330247045
119,173.6578005,3.626134783,0.020708323
120,418.0468823,16.03543264,0.634811401
121,219.9997198,9.887732401,0.257956743
122,508.0657465,21.67540145,2.559678316
123,451.1801145,13.07834691,0.915339291
124,398.4339905,46.50720593,4.583840907
125,376.1844805,35.64387053,2.610804111
126,645.1603239,19.65895128,1.255068243
127,183.0661464,12.35107993,0.495853841
128,351.1184389,19.52892488,1.069711685
129,385.8912995,15.03359613,1.032839715
130,245.8481045,12.93772231,0.648758471
131,356.688814,10.86696315,0.48440522
132,534.0714839,19.92869577,0.113659084
133,250.3576933,6.513798505,0.001909018
134,223.6473224,9.61587137,1.93530798
135,286.2630346,16.52816498,1.659953773
136,541.7679989,22.58991364,1.537847877
137,224.077857,13.02803831,0.969718039
138,474.862434,30.76857495,2.295832694
139,497.7354427,38.10479063,1.516981721
140,583.445946,59.28676063,5.86038208
141,405.3367831,56.62865281,8.852049291
142,315.9695692,12.29529749,0.446963727
143,408.6553201,18.52649686,0.858184755
144,381.0897739,19.37062758,3.012015462
145,455.5638495,26.95900619,1.484290838
146,1151.477707,109.2143706,3.64301312
147,279.446671,13.88746914,1.307503879
148,257.9284038,17.94064212,0.594729334
149,202.110944,23.91939068,2.236035764
150,659.8890122,45.23264277,4.806075096
151,549.1213494,38.81462312,2.714657068
152,362.3578378,2.189703196,0.016499162
153,160.0514371,2.879156791,0.020623803
154,419.3154634,32.99593779,2.369107485
155,136.0261502,3.819164366,0.128699005
156,521.4591003,38.10233879,2.278897703
157,185.0143754,5.863749154,0.151203558
158,1156.654894,22.48538285,4.128854334
159,284.5246566,17.13549191,1.699631691
160,260.2377391,5.662622795,0.065703362
161,363.3242196,15.44341287,1.983866811
162,295.5152251,11.34130433,0.267139256
163,502.0257279,46.32656389,4.699300826
164,516.3935045,29.10355166,1.701441288
165,753.6597326,52.1292029,4.507479429
166,268.4121496,6.514614671,0.681157261
167,255.5176686,18.0936489,0.695833385
168,274.9773542,14.30393641,0.666462719
169,286.4607279,4.346369624,0.334596008
170,234.364516,5.502214342,0.016485304
171,238.214306,15.48340823,0.103644729
172,430.4974135,49.84211019,2.979877412
173,271.8492133,6.576008618,0.512319475
174,170.9017701,4.327124856,0.211797059
175,247.5855895,25.77822903,1.561837614
176,299.6773781,20.15505812,0.994456291
177,204.991215,10.07800087,0.019951224
178,224.628244,5.921004176,0.11305365
179,405.5021808,29.11849457,0.90279007
