"","kurt.birth.dim0","kurt.birth.dim1","kurt.birth.dim2"
"1",0,2.65467116226832,5.08879769473093
"2",0,3.59152427679197,5.90480432787656
"3",0,3.74804385688728,4.21239503929498
"4",0,1.5922578116467,4.72788788356811
"5",0,3.41271289969322,6.49631886751417
"6",0,3.68852550629056,10.1194147261393
"7",0,1.26416884450185,1.82318775078879
"8",0,5.43528684717074,8.92807034410404
"9",0,6.1557012619877,24.2498456068615
"10",0,12.5955370308144,10.4327427977735
"11",0,13.0603711396287,54.5930619554216
"12",0,1.29636124139346,2.33008033736607
"13",0,2.61624193102808,1.23163492683212
"14",0,3.19683126751418,7.33522533170065
"15",0,3.31112906078609,4.67594498724703
"16",0,1.83785731770484,1.88376202065425
"17",0,6.79435924210228,2.08033360001384
"18",0,3.16593349975329,2.69230140605616
"19",0,6.02143719403393,3.93656135049949
"20",0,9.27281114113475,19.4835027890233
"21",0,1.94779699262229,8.6981764106984
"22",0,3.13528938984488,3.16201573454056
"23",0,1.93852249417014,2.16081147665729
"24",0,2.9910656355156,3.68962590187019
"25",0,16.4848583971125,10.19284564323
"26",0,2.13628969714623,1.16675278436332
"27",0,3.65013034817448,2.36902473270335
"28",0,4.90070036314976,2.96751667327733
"29",0,1.49782275595445,33.9847644752548
"30",0,6.30237932952101,6.79768739373072
"31",0,28.0691543814445,2.54133465651677
"32",0,6.03033105247899,8.23358885306964
"33",0,16.5765139035126,19.7592330821027
"34",0,4.5593896920803,8.69321858750041
"35",0,2.16295121035998,5.08352394410393
"36",0,4.46575773493889,6.34806898007397
"37",0,48.4240662098027,3.03372837588763
"38",0,1.53779943288522,1.78020744687963
"39",0,6.65870857882264,3.97946263306846
"40",0,2.64438886521431,2.56070730654726
"41",0,24.1247553459086,5.4638066452097
"42",0,2.08748376334412,14.6169392558639
"43",0,2.12566494192437,1.99445909129223
"44",0,6.51882450331092,1.09670530728222
"45",0,5.03801274951612,2.55963685229123
"46",0,5.97810854462255,4.78525049122121
"47",0,1.45331967574498,20.1937381402685
"48",0,2.35946465071024,2.40792632723628
"49",0,5.086513286171,4.85453783006736
"50",0,1.84701430503202,5.09251219709591
